classification,college,department,academic_year,course_number,lecture_number,course_title,total_credit,lecture_credit,lab_credit,class_time,location,instructor,quota,current_quota,enrollment,remark,language,status
교양,인문대학,언어학과,1학년,L0441.000100,001,핀란드어 1,3,3,1,월(15:30~18:20-1)/목(17:00~17:50-1),008-408/002-110,정도상,20,10,10,수강제한 관련 수강편람 필독/주 1시간 랩수업 있음,한국어,설강
교양,인문대학,언어학과,1학년,L0441.000200,001,히브리어 1,3,3,1,월(12:30~13:45-1)/월(17:00~17:50-1)/수(12:30~13:45-1),008-403/002-110/008-403,김동혁,20,10,10,수강제한 관련 수강편람 필독/주 1시간 랩수업 있음,한국어,설강
